-38.03	Yaw : -3.82	Label : 3
Roll : 5.87	Pitch : -38.33	Yaw : -3.75	Label : 3
Roll : 5.68	Pitch : -37.89	Yaw : -3.66	Label : 3
Roll : 5.69	Pitch : -38.38	Yaw : -3.64	Label : 3
Roll : 5.56	Pitch : -38.09	Yaw : -3.58	Label : 3
Roll : 5.71	Pitch : -38.06	Yaw : -3.58	Label : 3
Roll : 5.80	Pitch : -38.29	Yaw : -3.49	Label : 3
Roll : 5.69	Pitch : -38.32	Yaw : -3.40	Label : 3
Roll : 5.61	Pitch : -38.76	Yaw : -3.36	Label : 3
Roll : 5.35	Pitch : -38.68	Yaw : -3.25	Label : 3
Roll : 5.42	Pitch : -38.44	Yaw : -3.24	Label : 3
Roll : 5.43	Pitch : -38.52	Yaw : -3.20	Label : 3
Roll : 5.44	Pitch : -38.34	Yaw : -3.25	Label : 3
Roll : 5.52	Pitch : -38.40	Yaw : -3.28	Label : 3
Roll : 5.59	Pitch : -38.34	Yaw : -3.28	Label : 3
Roll : 5.60	Pitch : -38.30	Yaw : -3.23	Label : 3
Roll : 5.64	Pitch : -38.49	Yaw : -3.29	Label : 3
Roll : 5.56	Pitch : -38.18	Yaw : -3.24	Label : 3
Roll : 5.62	Pitch : -38.36	Yaw : -3.23	Label : 3
Roll : 5.66	Pitch : -37.97	Yaw : -3.27	Label : 3
Roll : 5.83	Pitch : -38.17	Yaw : -3.25	Label : 3
Roll : 5.71	Pitch : -38.04	Yaw : -3.28	Label : 3
Roll : 5.78	Pitch : -38.03	Yaw : -3.29	Label : 3
Roll : 5.82	Pitch : -37.92	Yaw : -3.33	Label : 3
Roll : 5.86	Pitch : -38.00	Yaw : -3.30	Label : 3
Roll : 5.97	Pitch : -37.94	Yaw : -3.31	Label : 3
Roll : 5.94	Pitch : -37.97	Yaw : -3.30	Label : 3
Roll : 6.20	Pitch : -38.05	Yaw : -3.28	Label : 3
Roll : 6.01	Pitch : -37.90	Yaw : -3.18	Label : 3
Roll : 6.04	Pitch : -38.25	Yaw : -3.14	Label : 3
Roll : 6.26	Pitch : -38.30	Yaw : -3.09	Label : 3
Roll : 6.36	Pitch : -38.32	Yaw : -3.11	Label : 3
Roll : 6.36	Pitch : -38.11	Yaw : -3.13	Label : 3
Roll : 6.16	Pitch : -38.11	Yaw : -3.08	Label : 3
Roll : 6.14	Pitch : -38.20	Yaw : -2.94	Label : 3
Roll : 6.14	Pitch : -38.23	Yaw : -2.91	Label : 3
Roll : 6.09	Pitch : -38.72	Yaw : -2.90	Label : 3
Roll : 6.22	Pitch : -38.42	Yaw : -2.93	Label : 3
Roll : 6.10	Pitch : -38.66	Yaw : -2.87	Label : 3
Roll : 6.28	Pitch : -38.55	Yaw : -2.82	Label : 3
Roll : 6.36	Pitch : -38.45	Yaw : -2.85	Label : 3
Roll : 6.24	Pitch : -38.70	Yaw : -2.64	Label : 3
Roll : 6.13	Pitch : -38.48	Yaw : -2.64	Label : 3
